carID direction arrival-time start-time end-time
7 S 23:32:50.695 23:32:50.696 23:32:51.3
8 N 23:32:50.695 23:32:50.696 23:32:51.5
4 N 23:32:50.695 23:32:50.696 23:32:51.5
3 N 23:32:50.695 23:32:50.696 23:32:51.5
1 N 23:32:50.695 23:32:50.696 23:32:51.5
5 S 23:32:50.695 23:32:50.696 23:32:51.5
6 S 23:32:50.695 23:32:50.696 23:32:51.5
2 S 23:32:50.695 23:32:50.696 23:32:51.5
10 N 23:32:55.5 23:32:55.5 23:32:56.1
11 N 23:32:55.5 23:32:55.5 23:32:56.1
9 S 23:32:55.5 23:32:55.5 23:32:56.1
12 N 23:33:00.1 23:33:00.1 23:33:01.5
14 N 23:33:05.5 23:33:05.5 23:33:06.2
16 N 23:33:05.5 23:33:05.5 23:33:06.5
15 N 23:33:05.5 23:33:05.5 23:33:06.5
13 N 23:33:05.5 23:33:05.5 23:33:06.5
19 S 23:33:10.5 23:33:10.5 23:33:11.1
17 S 23:33:10.5 23:33:10.5 23:33:11.1
18 N 23:33:10.5 23:33:10.5 23:33:11.2
24 S 23:33:15.4 23:33:15.4 23:33:16.2
23 S 23:33:15.4 23:33:15.4 23:33:16.2
22 N 23:33:15.4 23:33:15.4 23:33:16.2
25 S 23:33:15.4 23:33:15.4 23:33:16.2
20 N 23:33:15.4 23:33:15.4 23:33:16.2
26 N 23:33:15.4 23:33:15.4 23:33:16.2
21 S 23:33:15.4 23:33:15.4 23:33:16.5
